t_state,t_county,ordinance,p_tnum,p_cap,t_hh,t_rd,t_rsa,t_ttlh,xlong,ylat
KS,Ness,0,111,198.7,80.0,100.0,7853.98,130.1,-99.7444235319149,38.66469590425532
KS,Osage,1,62,200.13,101.5,132.0,13684.78,167.6,-95.93415344444445,38.46107766666667
KS,Pratt,1,227,452.07000000000005,80.0,105.48458149779735,8747.739162995595,132.7444933920705,-98.73118781057268,37.57499095154186
KS,Rush,0,21,48.3,80.0,108.0,9160.88,134.1,-99.53413800000001,38.431246238095234
KS,Sumner,1,75,150.0,80.0,110.0,9503.32,135.0,-97.29491285333333,37.123065266666664
KS,Thomas,0,177,471.47,87.03389830508475,118.37288135593221,11008.139491525424,146.32033898305082,-101.03160195233394,39.31842481838626
KS,Trego,0,111,198.7,80.0,100.0,7853.9800000000005,130.1,-99.68192335294118,38.70776947058823
KS,Wichita,0,33,99.0,80.0,90.0,6361.73,125.0,-101.15983603030304,38.518559787878786
MA,Barnstable,0,7,8.209999999999999,67.71428571428571,63.285714285714285,3711.1771428571433,99.68571428571428,-70.49000095238095,41.69901019047619
MA,Berkshire,0,31,46.5,70.96774193548387,79.25806451612904,4994.60440860215,110.69354838709675,-73.12378005034215,42.663347912512215
MA,Bristol,0,3,5.0,80.0,85.66666666666667,5784.983333333334,122.83333333333333,-70.95419833333334,41.67412433333334
MA,Essex,0,3,6.0,78.66666666666667,87.5,6023.026666666666,122.5,-70.71891799999999,42.656191
MA,Franklin,0,19,28.5,65.0,77.0,4656.63,103.6,-73.0216485,42.709610874999996
MA,Hampden,0,2,5.0,90.0,109.0,9331.32,144.5,-72.871151,42.212663500000005
MA,Plymouth,0,10,18.8,87.5,88.55,6258.7215,131.725,-70.69133525,41.940395
MA,Suffolk,0,3,2.7,46.333333333333336,58.666666666666664,2916.966666666667,75.56666666666666,-70.99491366666668,42.36147833333334
MA,Worcester,0,4,6.3,72.5,79.5,4968.825000000001,112.25,-71.91884825,42.5289155
MD,Garrett,0,96,240.0,85.83333333333333,94.66666666666667,7052.615416666667,133.16666666666666,-79.32889311197916,39.37402891406251
ME,Aroostook,0,76,189.6,82.52631578947368,99.10526315789474,7937.935263157896,132.0513157894737,-67.99419303947369,46.23959786842105
ME,Franklin,0,31,91.65,81.45161290322581,93.7741935483871,6933.828064516129,128.36774193548385,-70.49858170967742,45.14558257258064
ME,Hancock,0,58,157.8,109.64655172413794,114.84482758620689,10453.717586206896,167.13965517241377,-68.17710389655173,44.7521814137931
ME,Knox,0,3,4.5,80.0,77.0,4656.63,118.59999999999998,-68.865799,44.093891000000006
ME,Oxford,0,44,108.6,85.63636363636364,98.13636363636364,7697.368181818182,134.73636363636365,-70.5539374318182,44.57432317424242
ME,Penobscot,0,58,111.9,82.1896551724138,86.82758620689656,6096.749827586207,125.65862068965517,-68.38601374137932,45.24894655172414
ME,Piscataquis,0,56,184.8,94.0,112.0,9852.03,150.0,-69.64781995238096,45.16626247619048
ME,Somerset,0,56,184.8,94.0,112.0,9852.03,150.0,-69.72977514285714,45.10339197142857
ME,Waldo,0,3,4.5,80.0,77.0,4656.63,118.59999999999998,-69.335261,44.49516033333333
ME,Washington,0,55,82.5,80.0,77.0,4656.63,118.6,-67.9763236,45.55324012727272
MI,Delta,0,35,100.45,86.4,118.0,11166.792000000003,145.36285714285717,-86.60396654428571,45.73919160285714
MI,Emmet,1,2,1.8,72.0,52.0,2123.72,98.1,-84.73994099999999,45.7618025
MI,Gratiot,1,386,832.36,93.05395747721994,107.40762908701089,9345.920610148294,146.68149008397356,-84.56201688643888,43.34171689982775
MI,Hillsdale,0,60,166.08,88.1,125.9,12457.753,150.97,-84.47421171666666,41.967994966666666
MI,Huron,1,433,799.65,89.37644341801386,100.08314087759815,7983.581293302541,139.45588914549654,-83.09496440015397,43.8368419908391
MI,Isabella,0,201,544.8199999999999,104.3731343283582,123.44278606965175,11988.789253731344,166.0592039800995,-84.79207841528469,43.632675319375345
MI,Mason,0,56,100.8,80.0,100.0,7853.9800000000005,130.1,-86.35331253571428,43.86887278571429
