t_state,t_county,eia_id,p_year,p_tnum,p_cap,t_hh,t_rd,t_rsa,t_ttlh,xlong,ylat,ordinance
CA,Solano,58104,2012,1,1.0,55.0,61.4,2960.92,85.6,-121.81749,38.420094,1
CA,Solano,59331,2014,1,1.85,72.5,79.75,5001.125,112.44999999999999,-122.090683,38.2329005,1
CA,Tehama,58105,2012,1,1.5,65.0,77.0,4656.63,103.6,-122.193886,40.111195,1
CA,Yolo,58105,2012,1,1.5,80.0,77.0,4656.63,118.6,-121.935188,38.687595,1
CO,Baca,508,2004,2,3.0,80.0,70.5,3903.63,115.2,-102.650894,37.362293,0
CO,Bent,56460,2007,50,75.0,80.0,77.0,4656.63,118.6,-102.85971622000001,37.67288118,0
CO,Cheyenne,60619,2018,100,200.0,80.0,110.0,9503.32,135.0,-103.14918172727272,39.00859772727273,1
CO,Cheyenne,62489,2021,25,104.0,105.0,136.0,14526.719999999998,173.1,-102.8014178,39.035315,1
CO,Cheyenne,62952,2020,228,496.4,80.0,118.8157894736842,11095.81302631579,139.31973684210527,-102.29985355921052,38.98873589473684,1
CO,El Paso,59974,2015,145,249.2,80.0,103.0,8332.29,131.4,-104.22943111724138,38.997588296551726,1
CO,Elbert,57315,2011,139,250.2,80.0,90.0,6361.73,125.0,-103.74669645454544,39.38744572727273,1
CO,Elbert,58126,2012,125,200.0,80.0,100.0,7853.98,130.1,-103.76443261904762,39.3739230952381,1
CO,Elbert,60619,2018,200,400.0,80.0,110.0,9503.32,135.0,-103.88965432275133,39.13869987830688,1
CO,Huerfano,57980,2012,16,28.8,80.0,100.0,7853.98,130.1,-104.471851375,37.7818876875,0
CO,Huerfano,58548,2013,4,8.0,103.0,80.0,5026.55,143.0,-104.83057600000001,37.7751505,0
CO,Huerfano,60143,2016,34,60.86,80.0,100.0,7853.98,130.1,-104.51137866666667,37.68356528571429,0
CO,Huerfano,62445,2019,27,59.4,80.0,120.0,11309.73,139.9,-104.43095494117647,37.78270311764705,0
